date,provider,network,account_id,shortname,campaign_start_date,campaign_end_date,brand,free_field,adset_name,adset_group,ad_name,display_path,ad_type,device,spend,clicks,imps,conversions,sessions,users,new_users,page_views,Sales
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,1841,3,246,0,4,29,15,81,22.1
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,1841,3,246,0,12,32,20,2,10.4
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,1841,3,246,0,23,15,15,68,9.3
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,1841,3,246,0,66,7,8,93,18.5
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,1841,3,246,0,59,53,0,32,12.9
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7591,8,269,0,4,29,15,81,7.2
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7591,8,269,0,12,32,20,2,11.8
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7591,8,269,0,23,15,15,68,13.2
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7591,8,269,0,66,7,8,93,4.8
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7591,8,269,0,59,53,0,32,10.6
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,8306,9,174,3,4,29,15,81,8.6
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,8306,9,174,3,12,32,20,2,17.4
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,8306,9,174,3,23,15,15,68,9.2
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,8306,9,174,3,66,7,8,93,9.7
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,8306,9,174,3,59,53,0,32,19
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,4734,5,230,1,4,29,15,81,22.4
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,4734,5,230,1,12,32,20,2,12.5
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,4734,5,230,1,23,15,15,68,24.4
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,4734,5,230,1,66,7,8,93,11.3
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,4734,5,230,1,59,53,0,32,14.6
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7700,0,156,2,4,29,15,81,18
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7700,0,156,2,12,32,20,2,12.5
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7700,0,156,2,23,15,15,68,5.6
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7700,0,156,2,66,7,8,93,15.5
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Mobile devices with full browsers,7700,0,156,2,59,53,0,32,9.7
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Tablets with full browsers,7300,0,74,3,4,29,15,81,12
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Tablets with full browsers,7300,0,74,3,12,32,20,2,15
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Tablets with full browsers,7300,0,74,3,23,15,15,68,15.9
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Tablets with full browsers,7300,0,74,3,66,7,8,93,18.9
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Tablets with full browsers,7300,0,74,3,59,53,0,32,10.5
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Computers,1900,3,70,1,4,29,15,81,21.4
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Computers,1900,3,70,1,12,32,20,2,11.9
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Computers,1900,3,70,1,23,15,15,68,9.6
01-10-2021,Platform 2,channel 2,KvHZHCUnRS1G2k25DBXWig==,fighter,01-10-2021,03-10-2021,AMA,SITE,text 2,,Zd+2skv6YeFpQm3rmXiBNQ==umSH0KgpE5d1hk7z89WRYg==,https://www.site.ru,Expanded text ad,Computers,1900,3,70,1,66,7,8,93,17.4
